obj: lion, loss: 0.1393147039040923, lpips: 0.16655894674360752, ssim: 0.8445415673995496, psnr: 15.170501644206475
obj: grandmother, loss: 0.06266444313339889, lpips: 0.12262548428028822, ssim: 0.882281556330511, psnr: 18.51109755831935
obj: train, loss: 0.17290632147341967, lpips: 0.21625277593731881, ssim: 0.8054242312546164, psnr: 14.53341714010076
obj: lunch_bag, loss: 0.19153571367263794, lpips: 0.26536484017968176, ssim: 0.6465764742040409, psnr: 14.78695681483439
obj: grandfather, loss: 0.09206592900678516, lpips: 0.12798704609274864, ssim: 0.8847850567442778, psnr: 17.078474308371895
obj: shoe, loss: 0.06386004325002431, lpips: 0.13920602530241014, ssim: 0.845638951402384, psnr: 18.43562767429738
obj: school_bus1, loss: 0.10675757467746734, lpips: 0.1839290498942137, ssim: 0.8297560603892282, psnr: 16.87794006372292
obj: shoe1, loss: 0.12270405740477144, lpips: 0.1948643995821476, ssim: 0.8092613766330254, psnr: 16.26957957079482
obj: bell, loss: 0.04719279680866748, lpips: 0.0953339096903801, ssim: 0.909275691499832, psnr: 21.954596968272014
obj: teapot, loss: 0.1136515050008893, lpips: 0.21509278498589993, ssim: 0.8076984060619794, psnr: 16.675066033716895
obj: school_bus2, loss: 0.17699240516871215, lpips: 0.2629387766122818, ssim: 0.6624214416377013, psnr: 14.07057072320938
obj: backpack, loss: 0.4040055809170008, lpips: 0.40817504867911336, ssim: 0.49794685430342744, psnr: 10.489115735544331
obj: sofa, loss: 0.11699540549889206, lpips: 0.18331441923975944, ssim: 0.8066332390761568, psnr: 16.723876864979037
obj: sorter, loss: 0.14940029142424463, lpips: 0.20745512887835502, ssim: 0.7286120752791789, psnr: 15.026542855198368
obj: hat, loss: 0.20842815238051116, lpips: 0.2660294070094824, ssim: 0.7389781270313791, psnr: 14.55132858737005
obj: shoe3, loss: 0.08265092990361154, lpips: 0.13180648148059845, ssim: 0.8554177279422435, psnr: 17.7394585550765
obj: toaster, loss: 0.15096028212457896, lpips: 0.23644831612706185, ssim: 0.7306120421998049, psnr: 14.919311861989518
obj: elephant, loss: 0.5449332782626152, lpips: 0.4389594778418541, ssim: 0.6299666477588943, psnr: 8.870212935966018
obj: shoe2, loss: 0.15681565256789326, lpips: 0.18438465043902397, ssim: 0.8290796667064774, psnr: 15.156281248540202
obj: chicken, loss: 0.08326018025167287, lpips: 0.18603695772588252, ssim: 0.8178443551755259, psnr: 18.743685794785662
obj: sorting_board, loss: 0.15884879637509586, lpips: 0.28899524606764315, ssim: 0.6755722776674279, psnr: 15.964823822264195
obj: oil, loss: 0.06523805906064808, lpips: 0.1380742210894823, ssim: 0.9009621193156255, psnr: 20.658340113352928
obj: soap, loss: 0.047358437031507494, lpips: 0.17149557881057262, ssim: 0.8543358633337454, psnr: 20.56020684718785
obj: turtle, loss: 0.2548402259685099, lpips: 0.30151491217315196, ssim: 0.7273611875231264, psnr: 12.644701002509748
obj: cream, loss: 0.13577537196688355, lpips: 0.3328052327036858, ssim: 0.634281262428331, psnr: 16.880270211908954
obj: blocks, loss: 0.18034632423892616, lpips: 0.21539076179265976, ssim: 0.8184429889542687, psnr: 14.191324852630371
obj: alarm, loss: 0.09022035721689463, lpips: 0.14867215119302274, ssim: 0.8476055170243416, psnr: 17.45534107747833
obj: stucking_cups, loss: 0.1959970247372985, lpips: 0.22845370270311832, ssim: 0.859317412119128, psnr: 17.18112365131232
obj: mario, loss: 0.18561541922390462, lpips: 0.22139549173414708, ssim: 0.8008485919619186, psnr: 13.83334596380946
obj: leather, loss: 0.13045503952540458, lpips: 0.1437295476347208, ssim: 0.8659752236044319, psnr: 16.68601903762828
avg loss: 0.15439301007256534, avg lpips: 0.21410969242081046, avg ssim: 0.7849151330987526, avg psnr: 16.08797131731261
