obj: lion, loss: 0.18035158712416888, lpips: 0.21156945437192917, ssim: 0.8262007653405948, psnr: 13.989844321734232
obj: grandmother, loss: 0.06883429950103163, lpips: 0.12199263274669647, ssim: 0.8895910377353126, psnr: 18.0880049583696
obj: train, loss: 0.18551070960238575, lpips: 0.2182210372388363, ssim: 0.813104324426823, psnr: 14.26522317172615
obj: lunch_bag, loss: 0.17034275464713575, lpips: 0.2842299414426088, ssim: 0.6377005091135648, psnr: 14.151498763859246
obj: grandfather, loss: 0.08514854282140732, lpips: 0.11994752436876296, ssim: 0.8949932261670129, psnr: 17.342670496670276
obj: shoe, loss: 0.06693545700982213, lpips: 0.1407140824198723, ssim: 0.8466688575240922, psnr: 18.367126418828793
obj: school_bus1, loss: 0.1168006643652916, lpips: 0.1936464286595583, ssim: 0.8373032337110464, psnr: 16.188696818541825
obj: shoe1, loss: 0.12682329040020704, lpips: 0.2050715024024248, ssim: 0.8060185129430677, psnr: 15.82949863670434
obj: bell, loss: 0.08615778502542526, lpips: 0.1237978571653366, ssim: 0.8882397693587818, psnr: 19.789449579151906
obj: teapot, loss: 0.10296151472255588, lpips: 0.2260052126646042, ssim: 0.8100946762791686, psnr: 16.409413088450947
obj: school_bus2, loss: 0.18408930104225874, lpips: 0.27837287813425066, ssim: 0.6786156210585945, psnr: 13.668527794249622
obj: backpack, loss: 0.37249567069113254, lpips: 0.40670271426439286, ssim: 0.5025228471086544, psnr: 10.709724631248834
obj: sofa, loss: 0.11543041778728366, lpips: 0.19314426742494106, ssim: 0.8209602240057915, psnr: 16.875162878083923
obj: sorter, loss: 0.21550360895693302, lpips: 0.2559530058503151, ssim: 0.6668191071031153, psnr: 13.095017807809054
obj: hat, loss: 0.10871309146285058, lpips: 0.18301125638186932, ssim: 0.7995849018357164, psnr: 16.605947132948543
obj: shoe3, loss: 0.11092717805877328, lpips: 0.15444867491722106, ssim: 0.851632786313088, psnr: 16.59410503276414
obj: toaster, loss: 0.24530806921422482, lpips: 0.28918672680854796, ssim: 0.6906213277640291, psnr: 13.27999264957164
obj: elephant, loss: 0.461452367156744, lpips: 0.39596769481897354, ssim: 0.6533328738835584, psnr: 9.808918272193877
obj: shoe2, loss: 0.24060316517949104, lpips: 0.23827578768134117, ssim: 0.8103574233950258, psnr: 13.031430128409077
obj: chicken, loss: 0.06884198018349708, lpips: 0.16737463742494582, ssim: 0.8386948063237101, psnr: 19.36553983399939
obj: sorting_board, loss: 0.10687187917530537, lpips: 0.2906867475807667, ssim: 0.6856128342785979, psnr: 16.008374688302148
obj: oil, loss: 0.04426587452180684, lpips: 0.11167872209101916, ssim: 0.9107570533416819, psnr: 20.753478672271708
obj: soap, loss: 0.09571439946070313, lpips: 0.1992543411254883, ssim: 0.8141387633831195, psnr: 17.322269305658086
obj: turtle, loss: 0.255364547111094, lpips: 0.31073442101478577, ssim: 0.7218867165129157, psnr: 12.5662958518933
obj: cream, loss: 0.07122708634473383, lpips: 0.3491116099059582, ssim: 0.6658108009961998, psnr: 18.137127613941644
obj: blocks, loss: 0.16683732207864524, lpips: 0.22320786282420157, ssim: 0.8235030436819732, psnr: 14.378104961665462
obj: alarm, loss: 0.10934784254059196, lpips: 0.16268261335790157, ssim: 0.8467325143330676, psnr: 16.484366718371533
obj: stucking_cups, loss: 0.0956787690706551, lpips: 0.14970308609306812, ssim: 0.8927950410778125, psnr: 18.503952689569545
obj: mario, loss: 0.2039271495118737, lpips: 0.24012368597090245, ssim: 0.7993759399904419, psnr: 13.522863969665051
obj: leather, loss: 0.11235881041735411, lpips: 0.14222397916018964, ssim: 0.8796660051303852, psnr: 15.987784524283912
avg loss: 0.1524941711728461, avg lpips: 0.21956801287705704, avg ssim: 0.7867778514705648, avg psnr: 15.704013713697924
